27/01/2015,Direct Debit,425720864159390484,Vodafone,SERIAL NO - 517245,Y,,,,126.1883,105.1569167,21.03138333,4561.113382,,Mobile Phone,
27/01/2015,Purchase,4313673547906849 CARD,6849 POST OFFICE C,,N,,,,19.584,19.584,,4541.529382,,Post,
28/01/2015,Purchase,4313673547906849,6849 P.C. SECURE LTD,,Y,,,,69.4008,57.834,11.5668,4472.128582,,Computer / IT Equipment / Components / Software / Licences / Tools,
28/01/2015,Direct Debit,10219620,BT - British Telecom,SERIAL NO - 40401608,Y,,,,201.1173,167.59775,33.51955,4271.011282,,Phone and Broadband,
,,,,,,,,,,,,4271.011282,,,
,,,,,,,,,,,,4271.011282,,,
,,,,CLOSING BALANCE,,,,,,,,4271.011282,,,
,Account:,4052522627725701-DEMOCO ,,,,,,,,,,,,,
,Date Range:,From : 01/01/2014,To : 28/01/2015,,,,,,,,,,,,
Date,Description,Bank Reference,Customer Reference,Additional Information,,Credit,,,Debit,,,Running Balance ,,,
,,,,OPENING BALANCE,,,,,,,,76.86,,,
04/04/2014,Bank Credit Interest,,,,N,0.02,0.02,,,,,76.88,,Bank Credit Interest,
25/04/2014,Transfer In,Cover,DEMOCO LTD,ORIGINATING ACCOUNT – 40525226277257,N,6000,6000,,,,,6076.88,,Internal transfer to IAS,
20/05/2014,Book Transfer,Cover,DEMOCO LTD,BENEFICIARY ACCOUNT – 40525226277257,N,,,,1074.36,1074.36,,5002.52,,Internal transfer to current account,
21/05/2014,Book Transfer,Cover,DEMOCO LTD,BENEFICIARY ACCOUNT – 40525226277257,N,,,,500,500,,4502.52,,Internal transfer to current account,
19/06/2014,Book Transfer,Cover,DEMOCO LTD,BENEFICIARY ACCOUNT – 40525226277257,N,,,,694.1,694.1,,3808.42,,Internal transfer to current account,
25/06/2014,Book Transfer,Cover,DEMOCO LTD,BENEFICIARY ACCOUNT – 40525226277257,N,,,,400,400,,3408.42,,Internal transfer to current account,
19/09/2014,Book Transfer,Cover,DEMOCO LTD,BENEFICIARY ACCOUNT – 40525226277257,N,,,,1469.95,1469.95,,1938.47,,Internal transfer to current account,
03/10/2014,Bank Credit Interest,,,,N,1.27,1.27,,,,,1939.74,,Bank Credit Interest,
04/11/2014,Book Transfer,Cover,JOINT SALES LIMITE,ORIGINATING ACCOUNT - 08929969012055,N,,,,500,500,,1439.74,,Internal transfer to IAS,
,,,,CLOSING BALANCE,,,,,,,,1439.74,,,
,Account:,4052522627725702-DEMOCO ,,,,,,,,,,,,,
,Date Range:,From : 01/01/2014,To : 28/01/2015,,,,,,,,,,,,
Date,Description,Bank Reference,Customer Reference,Additional Information,,Credit,,,Debit,,,Running Balance ,,,
,,,,OPENING BALANCE,,,,,,,,0,,,
,,,,CLOSING BALANCE,,,,,,,,0,,,
